association,rank_within_direction,ensembl_gene_id,symbol,spearman_rho,p_value,BH_FDR,RNA_direction,RNA_average_post_log2FC,RNA_average_post_FDR
Positive,99,ENSMUSG00000104045,Gm37565,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.56258004801661,0.000000261759327403907
Positive,99,ENSMUSG00000112854,Gm38403,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.2229732125118,0.00000000000000000000000000707824375819567
Positive,99,ENSMUSG00000006221,Hspb7,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.50672260541592,0.000000424778964917818
Positive,99,ENSMUSG00000037940,Inpp4b,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.57460630657496,0.000000000000270517149468505
Positive,99,ENSMUSG00000069874,Irgm2,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.29025637736837,0.0000000127081275881119
Positive,99,ENSMUSG00000044938,Klhl31,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.35624856527554,0.0000000000000088035851233609
Positive,99,ENSMUSG00000074001,Klhl40,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.6082946014271,0.00000930850884433284
Positive,99,ENSMUSG00000029683,Lmod2,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.92466528076068,0.00000000000324457494462364
Positive,99,ENSMUSG00000039824,Myl6b,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.08702206345419,0.0000000000000000000000000600386724423948
Positive,99,ENSMUSG00000113178,Mylf-ps,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.37556925050319,0.00000000000000051931831177858
Positive,99,ENSMUSG00000028116,Myoz2,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-3.06326392000022,0.00000000000000000000000848292979433707
Positive,99,ENSMUSG00000025170,Rab40b,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.17793935793431,0.00000000158945979994775
Positive,99,ENSMUSG00000030592,Ryr1,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.02323619689124,0.000000000000000000000000000000000000000000114447607534952
Positive,99,ENSMUSG00000044770,Scml4,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.04786070555327,0.00000000000232755949185348
Positive,99,ENSMUSG00000055027,Smyd1,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.83965682388408,0.0000000000000459901827532109
Positive,99,ENSMUSG00000039376,Synpo2l,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.6449316366109,0.000000000000000000000000000000000000000000000135966264503755
Positive,99,ENSMUSG00000028950,Tas1r1,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.06125613286989,0.0000605099870477869
Positive,99,ENSMUSG00000058252,Tcp11x2,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.73021348607573,0.00000032278639077099
Positive,99,ENSMUSG00000026418,Tnni1,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.41643274292675,0.0000000000000000222487575441714
Positive,99,ENSMUSG00000064179,Tnnt1,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.08582126241767,0.00000000000000000000000000000550103299375861
Positive,99,ENSMUSG00000062077,Trim54,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.85735543114988,0.000000000000000000000177484614421028
Positive,99,ENSMUSG00000042828,Trim72,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.78131390526175,0.0000000000000351931875504013
Positive,99,ENSMUSG00000000244,Tspan32,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-2.00112431962042,0.0000000396373016705563
Positive,99,ENSMUSG00000051747,Ttn,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.82574225660823,0.000000000000000000000000333547449481803
Positive,99,ENSMUSG00000068232,Vmn1r42,0.933333333333333,0.000235899812159415,0.0110776776995236,lower,-1.15065096713552,0.000940427006841702
Positive,145,ENSMUSG00000038763,Alpk3,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-2.78531328165695,0.000000000000000195872661788333
Positive,145,ENSMUSG00000025172,Ankrd2,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-2.90175968100704,0.0000000000000342419674274529
Positive,145,ENSMUSG00000024617,Camk2a,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.46330437676896,0.000000000000017960196012899
Positive,145,ENSMUSG00000075225,Ccdc162,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.85628635238979,0.0000000000000000135720717341534
Positive,145,ENSMUSG00000026251,Chrnd,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.77208445705008,0.0000000000000000000000000000000000000980316496442882
Positive,145,ENSMUSG00000026489,Coq8a,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.03878591349885,0.00000000000148286166171284
Positive,145,ENSMUSG00000026610,Esrrg,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.16304363235727,0.000253835932390562
Positive,145,ENSMUSG00000030518,Fam189a1,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.27950587973256,0.0000313329168263461
Positive,145,ENSMUSG00000108601,Gm44645,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.68535277680213,0.00000000325613837714014
Positive,145,ENSMUSG00000000031,H19,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.95990393180489,0.00000000000000000000000000000000000000000000191033694616125
Positive,145,ENSMUSG00000026185,Igfbp5,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.42083232551627,0.00000000000000000000000000000000000000000000000000000000000000139346603211572
Positive,145,ENSMUSG00000050556,Kcnb1,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.51348347452708,0.0000000000123552777192873
Positive,145,ENSMUSG00000028631,Kcnq4,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.20948494938016,0.000000000000000215992496785565
Positive,145,ENSMUSG00000024481,Lvrn,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.04915714471942,0.000000000000000000747014324768917
Positive,145,ENSMUSG00000018411,Mapt,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.66755159631878,0.0000000000000000000000115355043602723
Positive,145,ENSMUSG00000098613,Mir6931,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.50544481558524,0.000000222549513749749
Positive,145,ENSMUSG00000056328,Myh1,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-2.04858285234231,0.0000000474265980835059
Positive,145,ENSMUSG00000068697,Myoz1,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.34605873894722,0.000040761256245848
Positive,145,ENSMUSG00000031214,Ophn1,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.07744422047313,0.0000000000000000000000000230888585633081
Positive,145,ENSMUSG00000022803,Popdc2,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.48559776636317,0.00000169910417446779
Positive,145,ENSMUSG00000070509,Rgma,0.916666666666667,0.000506619066305208,0.0163383285538257,lower,-1.02937040108475,0.0000000000000000000000163726195301137
