ensembl_gene_id,symbol,trajectory_direction,average_post_log2FC,average_post_fdr,Early_D0,Early_D1,Early_D6,Middle_D0,Middle_D1,Middle_D6,Late_D0,Late_D1,Late_D6
ENSMUSG00000044770,Scml4,lower,-1.04786070555327,0.00000000000232755949185348,4.77508316957941,6.08726451916721,7.52596966709593,3.97630358816814,5.14391763765441,6.75289834845982,3.90377583459795,4.57416476361351,6.27663298071724
ENSMUSG00000036186,Fam69b,higher,1.25519715272777,0.00000000000242264254328671,4.48079534673285,4.19053540535129,4.24894516017562,5.42417790407407,5.11109790867342,4.86543219409739,5.75448061560921,5.28069088500753,5.69859214801563
ENSMUSG00000029361,Nos1,higher,2.31859513261043,0.0000000000024335099449357,2.22939625999202,5.4066124761777,10.2456276149669,3.69172682221551,7.32781541127813,12.2006090293355,4.62549477324262,7.97649499041568,12.1688547281528
ENSMUSG00000048349,Pou4f1,lower,-1.11355771923236,0.00000000000246217269888943,5.73760021311948,5.31852821683735,6.46031938523505,5.25281459522915,4.66868608350854,6.03818890193783,4.76762305063786,4.4683296173271,4.87411915171627
ENSMUSG00000039891,Txlnb,lower,-1.09530219289817,0.00000000000246902284539927,2.77459243590358,5.96887894199827,9.8706668280532,1.83979251490309,5.69410726712384,9.1683750134083,2.0372146772052,5.54781239666287,8.22603827317912
ENSMUSG00000028150,Rorc,higher,1.23996099524398,0.00000000000252946029657722,1.40661701432624,5.72645305334787,4.51363044968357,3.17234571416091,6.50710069687313,5.86287176105087,2.96348648372835,6.772830525414,6.50191129004678
ENSMUSG00000023918,Adgrf4,higher,2.61105623305068,0.00000000000257187327168467,0,0.327962716430266,1.47450199075973,1.28891419628835,1.16261601407803,3.88743608013088,3.82086647903117,4.08740881118265,4.8063059537052
ENSMUSG00000043088,Il17re,higher,2.40230458611179,0.00000000000264774001787569,0.669557469305939,0.327962716430266,2.24007645875127,1.51211391944152,3.17765326209348,3.36643782929251,2.85793840073802,4.10840569513009,4.96406309482032
ENSMUSG00000041607,Mbp,higher,1.53012588665969,0.00000000000277221471028909,3.82029587058006,3.82492298109164,3.05691666681236,4.3500676865132,4.42429336797336,4.63633476022921,4.64403102324031,4.89071877455327,5.79681629470768
ENSMUSG00000095332,Gm9821,lower,-1.00953747286841,0.00000000000297437310073382,4.65847337501004,5.57036126271185,6.89728050602093,4.69338106540595,4.36430573079246,6.59768406951303,4.80485513527872,4.77764802337317,5.66498517868449
